,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
199,Fruit and vegetable preservation,311420,US,2258267.5728980163,16743382.879119558,131217798.49006107,424769.4478588855,209917012.16878936,133349.9666747556,1787486.6167498692,83625343121.36353,5131760210.651933,93744.92307809892,0.1287848435798464,4.935527250169226,612048.9005347599,5.064312093749072,87706.09564886663,26321337.318014268,0.0,0.0,2620.9167191615043,0.0,209917012.16878936,42320601.61849464,9934350789.997963
200,Cheese,311513,US,1228428.3355879907,13829564.040166436,108382216.47124839,244544.79732814463,6763236.975538974,72217.69874875214,1553932.3438574045,37380335802.35562,965657105.5693276,12753.51931032566,0.08662538860899645,4.230149477620059,423475.0813760575,4.316774866229056,40172.35140219976,15243351.558748093,0.0,0.0,7.0204188443723705,0.0,6763236.975538974,20181017.90258748,4503260990.608226
201,"Dry, condensed, and evaporated dairy",311514,US,664912.7007979327,6065586.417438123,47535967.02191111,183212.17625393742,34443699.0673503,41061.93073550275,701689.8668413771,15384536722.04909,1222050042.6153452,58769.67009093843,0.04570617939687748,1.8767308712150226,312141.07622173335,1.9224370506119,17247.13346291891,5950507.302615607,0.0,0.0,1.5192980514598167,0.0,34443699.0673503,11866305.266857104,4131707670.4177017
202,Fluid milk and butter,31151A,US,1552595.5654139137,11956852.363798209,93708687.0477382,215490.8776275227,1077194.8763130722,88330.9024853058,2056349.0892662061,47316683818.0677,1141671453.7945287,20257.315201293128,0.10869903080417812,5.279394332365075,338177.09484925657,5.388093363169254,52779.99281003707,19616072.611548007,0.0,0.0,13.093383859201948,0.0,1077194.8763130722,26465765.842960823,7032215498.123535
203,Ice cream and frozen desserts,311520,US,420588.61800581054,2551261.561818418,19996161.538879517,53761.59235953362,46394765.346741565,31244.915981209306,649380.892179462,18490266675.88446,169263513.72771275,2613.475352839734,0.028101486293099,1.7486863620419748,62769.012529613145,1.7767878483350736,18392.014272621313,7458457.888922521,0.0,0.0,1.9136480072580504,0.0,46394765.346741565,7122599.921805723,1643018294.8521595
204,Packaged poultry,311615,US,3445578.844524755,21161658.103996653,165906882.77422488,373350.3631348907,194034837.30275267,2657657.616633912,24182134.24261001,210166277379.1078,2176408575.648287,19502.27673939206,0.17873247121984762,10.475759264555895,603747.2213736376,10.654491735775741,216295.77381048948,21593087.297422603,0.0,0.0,5.698412965373996,0.0,194034837.30275267,49660793.99552249,11770061094.497566
205,Packaged meat (except poultry),31161A,US,7050197.418278518,55805192.063219175,439104278.39757717,922474.719259914,46646007.71618589,2303632.8532522297,8521781.700889125,261022981987.98785,4787801479.996639,74849.51270278165,0.523422343238215,20.92199742127398,1696614.0194527896,21.445419764512184,267185.3557622521,27057148.99867056,0.0,0.0,17.228995985811956,0.0,46646007.71618589,93131359.61130425,18438361487.846252
206,Seafood,311700,US,420526.4158481329,3599484.3815396535,28209139.079384834,58730.16093215715,629941.0826291506,856196.1249116446,708994.8465666008,30275578211.75043,760261557.3556111,4841.373475502005,0.04020327502878477,1.934658051305206,81743.83739400025,1.9748613263339905,32215.295790917236,8775760.027401272,0.0,0.0,9.8472349486346,0.0,629941.0826291506,7414742.247131243,2229226749.261368
207,Bread and other baked goods,311810,US,3057925.773384006,49663309.497393385,852292311.4857297,481790.76753944304,55394964.94872,177549.5705290003,6104853.479352137,196169896163.25266,1678763233.9928772,51773.91893871762,0.234418443122946,11.979218312669717,486547.66782998596,12.21363675579266,366799.33395140176,53143876.056924604,0.0,0.0,2.5353042443444083,0.0,55394964.94872,94556018.6955119,19344861416.416164
208,"Cookies, crackers, pastas, and tortillas",3118A0,US,1305091.5786838874,10148255.878127243,79531824.89355907,189441.9573620365,47043817.74919875,76049.82957645942,1789813.898517329,68564038307.4644,1049814852.2375702,17904.306915205976,0.07812895170543217,4.197967923276404,276633.3801904337,4.276096874981836,70324.87502556852,15804322.932395,0.0,0.0,115.2030484975952,0.0,47043817.74919875,19458322.28585407,7386534226.31443
